ACTION START 1200 0 START
ACTION QUERY 1200 10 COMPARISON OF READERSHIP PERCEPTION OF ONLINE AND HARDCOPY NEWSPAPERS in Nigeria
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 8567450
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 18040195
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 162148167
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 120423876
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 159425199
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 153441700
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 69997916
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 61263421
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 123220
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 63169520
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 125981194
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 121311221
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 132549952
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 127413260
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 8180488
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 74701625
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 135106377
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 156799459
ACTION QUERY 1200 232 comparison of readership perception of online and hardcopy newspapers in Nigeria AND (yearPublished>=2014 AND yearPublished<=2025)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 125765463
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 45211877
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 138500852
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 8567450
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 70357806
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 18040195
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 127390110
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 151245951
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 70309209
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 70337389
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 156815474
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 162148167
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 120423876
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 121734872
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 71489299
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 159425199
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 153441700
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 152497176
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 70338246
ACTION QUERY 1200 343 Printed Media AND (yearPublished>=1996 AND yearPublished<=2024)
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 82868660
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 113750728
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 142126153
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 78808202
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 129243649
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 75486093
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 125797834
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 78806780
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 75486025
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 75486120
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 78807592
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 75486068
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 75486096
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 75486046
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 125362716
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 4395691
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 4383656
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 23065095
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 126004680
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 47476636
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 145416292
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 78405799
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 82879303
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 2308092
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 7961372
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 54816917
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 85830950
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 8649156
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 63281094
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 39163637
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 159443483
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 7949571
ACTION QUERY 1200 454 Printed AND (yearPublished>=1966 AND yearPublished<=2024)
ACTION SERP 1200 459 EXAMINE_SERP
ACTION SNIPPET 1200 462 SNIPPET_NOT_RELEVANT 6063062
ACTION SNIPPET 1200 465 SNIPPET_NOT_RELEVANT 5180632
ACTION SNIPPET 1200 468 SNIPPET_NOT_RELEVANT 19170992
ACTION SNIPPET 1200 471 SNIPPET_NOT_RELEVANT 14423355
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 8967419
ACTION SNIPPET 1200 477 SNIPPET_NOT_RELEVANT 139652474
ACTION SNIPPET 1200 480 SNIPPET_NOT_RELEVANT 145338704
ACTION SNIPPET 1200 483 SNIPPET_NOT_RELEVANT 20995246
ACTION SNIPPET 1200 486 SNIPPET_NOT_RELEVANT 18512654
ACTION SNIPPET 1200 489 SNIPPET_NOT_RELEVANT 10848610
ACTION SNIPPET 1200 492 SNIPPET_NOT_RELEVANT 18950509
ACTION SNIPPET 1200 495 SNIPPET_NOT_RELEVANT 52128104
ACTION SNIPPET 1200 498 SNIPPET_NOT_RELEVANT 154834713
ACTION SNIPPET 1200 501 SNIPPET_NOT_RELEVANT 130836912
ACTION SNIPPET 1200 504 SNIPPET_NOT_RELEVANT 8152950
ACTION SNIPPET 1200 507 SNIPPET_NOT_RELEVANT 159084127
ACTION SNIPPET 1200 510 SNIPPET_NOT_RELEVANT 125170898
ACTION SNIPPET 1200 513 SNIPPET_NOT_RELEVANT 43117746
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 142867985
ACTION SNIPPET 1200 519 SNIPPET_NOT_RELEVANT 6179669
ACTION SNIPPET 1200 522 SNIPPET_NOT_RELEVANT 54816917
ACTION SNIPPET 1200 525 SNIPPET_NOT_RELEVANT 108741237
ACTION SNIPPET 1200 528 SNIPPET_NOT_RELEVANT 138931888
ACTION SNIPPET 1200 531 SNIPPET_NOT_RELEVANT 67795982
ACTION SNIPPET 1200 534 SNIPPET_NOT_RELEVANT 143244297
ACTION SNIPPET 1200 537 SNIPPET_NOT_RELEVANT 71160064
ACTION SNIPPET 1200 540 SNIPPET_NOT_RELEVANT 68968820
ACTION SNIPPET 1200 543 SNIPPET_NOT_RELEVANT 7958458
ACTION SNIPPET 1200 546 SNIPPET_NOT_RELEVANT 108537471
ACTION SNIPPET 1200 549 SNIPPET_NOT_RELEVANT 142067923
ACTION SNIPPET 1200 552 SNIPPET_NOT_RELEVANT 10148937
ACTION SNIPPET 1200 555 SNIPPET_NOT_RELEVANT 19417993
ACTION QUERY 1200 565 Comparative analysis of readership perception of online and hardcopy newspapers in Nigeria AND (yearPublished>=1990 AND yearPublished<=2024)
ACTION SERP 1200 570 EXAMINE_SERP
ACTION SNIPPET 1200 573 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 576 SNIPPET_NOT_RELEVANT 125765463
ACTION SNIPPET 1200 579 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 582 SNIPPET_NOT_RELEVANT 45211877
ACTION SNIPPET 1200 585 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 588 SNIPPET_NOT_RELEVANT 138500852
ACTION SNIPPET 1200 591 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 594 SNIPPET_NOT_RELEVANT 127390110
ACTION SNIPPET 1200 597 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 600 SNIPPET_NOT_RELEVANT 159425199
ACTION SNIPPET 1200 603 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 606 SNIPPET_NOT_RELEVANT 128336629
ACTION SNIPPET 1200 609 SNIPPET_NOT_RELEVANT 121734872
ACTION SNIPPET 1200 612 SNIPPET_NOT_RELEVANT 69997916
ACTION SNIPPET 1200 615 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 618 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 621 SNIPPET_NOT_RELEVANT 8217877
ACTION SNIPPET 1200 624 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 627 SNIPPET_NOT_RELEVANT 146141435
ACTION SNIPPET 1200 630 SNIPPET_NOT_RELEVANT 25500909
ACTION SNIPPET 1200 633 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 636 SNIPPET_NOT_RELEVANT 126338920
ACTION SNIPPET 1200 639 SNIPPET_NOT_RELEVANT 144277861
ACTION SNIPPET 1200 642 SNIPPET_NOT_RELEVANT 127619635
ACTION SNIPPET 1200 645 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 648 SNIPPET_NOT_RELEVANT 151245951
ACTION SNIPPET 1200 651 SNIPPET_NOT_RELEVANT 70309209
ACTION SNIPPET 1200 654 SNIPPET_NOT_RELEVANT 125981194
ACTION SNIPPET 1200 657 SNIPPET_NOT_RELEVANT 70346396
ACTION SNIPPET 1200 660 SNIPPET_NOT_RELEVANT 70337389
ACTION SNIPPET 1200 663 SNIPPET_NOT_RELEVANT 158112765
ACTION SNIPPET 1200 666 SNIPPET_NOT_RELEVANT 128501127
ACTION QUERY 1200 676 Printed AND (yearPublished>=2002 AND yearPublished<=2024)
ACTION SERP 1200 681 EXAMINE_SERP
ACTION SNIPPET 1200 684 SNIPPET_NOT_RELEVANT 6063062
ACTION SNIPPET 1200 687 SNIPPET_NOT_RELEVANT 5180632
ACTION SNIPPET 1200 690 SNIPPET_NOT_RELEVANT 19170992
ACTION SNIPPET 1200 693 SNIPPET_NOT_RELEVANT 14423355
ACTION SNIPPET 1200 696 SNIPPET_NOT_RELEVANT 8967419
ACTION SNIPPET 1200 699 SNIPPET_NOT_RELEVANT 139652474
ACTION SNIPPET 1200 702 SNIPPET_NOT_RELEVANT 145338704
ACTION SNIPPET 1200 705 SNIPPET_NOT_RELEVANT 20995246
ACTION SNIPPET 1200 708 SNIPPET_NOT_RELEVANT 18512654
ACTION SNIPPET 1200 711 SNIPPET_NOT_RELEVANT 10848610
ACTION SNIPPET 1200 714 SNIPPET_NOT_RELEVANT 18950509
ACTION SNIPPET 1200 717 SNIPPET_NOT_RELEVANT 52128104
ACTION SNIPPET 1200 720 SNIPPET_NOT_RELEVANT 154834713
ACTION SNIPPET 1200 723 SNIPPET_NOT_RELEVANT 130836912
ACTION SNIPPET 1200 726 SNIPPET_NOT_RELEVANT 8152950
ACTION SNIPPET 1200 729 SNIPPET_NOT_RELEVANT 159084127
ACTION SNIPPET 1200 732 SNIPPET_NOT_RELEVANT 125170898
ACTION SNIPPET 1200 735 SNIPPET_NOT_RELEVANT 43117746
ACTION SNIPPET 1200 738 SNIPPET_NOT_RELEVANT 142867985
ACTION SNIPPET 1200 741 SNIPPET_NOT_RELEVANT 6179669
ACTION SNIPPET 1200 744 SNIPPET_NOT_RELEVANT 54816917
ACTION SNIPPET 1200 747 SNIPPET_NOT_RELEVANT 108741237
ACTION SNIPPET 1200 750 SNIPPET_NOT_RELEVANT 138931888
ACTION SNIPPET 1200 753 SNIPPET_NOT_RELEVANT 67795982
ACTION SNIPPET 1200 756 SNIPPET_NOT_RELEVANT 143244297
ACTION SNIPPET 1200 759 SNIPPET_NOT_RELEVANT 71160064
ACTION SNIPPET 1200 762 SNIPPET_NOT_RELEVANT 68968820
ACTION SNIPPET 1200 765 SNIPPET_NOT_RELEVANT 7958458
ACTION SNIPPET 1200 768 SNIPPET_NOT_RELEVANT 108537471
ACTION SNIPPET 1200 771 SNIPPET_NOT_RELEVANT 142067923
ACTION SNIPPET 1200 774 SNIPPET_NOT_RELEVANT 10148937
ACTION SNIPPET 1200 777 SNIPPET_NOT_RELEVANT 19417993
ACTION QUERY 1200 787 Newspaper AND (yearPublished>=1968 AND yearPublished<=2025)
ACTION SERP 1200 792 EXAMINE_SERP
ACTION SNIPPET 1200 795 SNIPPET_NOT_RELEVANT 44790908
ACTION SNIPPET 1200 798 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 801 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 804 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 807 SNIPPET_NOT_RELEVANT 10835677
ACTION SNIPPET 1200 810 SNIPPET_NOT_RELEVANT 162724180
ACTION SNIPPET 1200 813 SNIPPET_NOT_RELEVANT 47500968
ACTION SNIPPET 1200 816 SNIPPET_NOT_RELEVANT 6237564
ACTION SNIPPET 1200 819 SNIPPET_NOT_RELEVANT 23047895
ACTION SNIPPET 1200 822 SNIPPET_NOT_RELEVANT 26658920
ACTION SNIPPET 1200 825 SNIPPET_NOT_RELEVANT 18734867
ACTION SNIPPET 1200 828 SNIPPET_NOT_RELEVANT 163125105
ACTION SNIPPET 1200 831 SNIPPET_NOT_RELEVANT 7921159
ACTION SNIPPET 1200 834 SNIPPET_NOT_RELEVANT 62274131
ACTION SNIPPET 1200 837 SNIPPET_NOT_RELEVANT 122613814
ACTION SNIPPET 1200 840 SNIPPET_NOT_RELEVANT 74261613
ACTION SNIPPET 1200 843 SNIPPET_NOT_RELEVANT 135654066
ACTION SNIPPET 1200 846 SNIPPET_NOT_RELEVANT 129218330
ACTION SNIPPET 1200 849 SNIPPET_NOT_RELEVANT 17711655
ACTION SNIPPET 1200 852 SNIPPET_NOT_RELEVANT 7651084
ACTION SNIPPET 1200 855 SNIPPET_NOT_RELEVANT 137490934
ACTION SNIPPET 1200 858 SNIPPET_NOT_RELEVANT 34251462
ACTION SNIPPET 1200 861 SNIPPET_NOT_RELEVANT 44827629
ACTION SNIPPET 1200 864 SNIPPET_NOT_RELEVANT 164611509
ACTION SNIPPET 1200 867 SNIPPET_NOT_RELEVANT 108241330
ACTION SNIPPET 1200 870 SNIPPET_NOT_RELEVANT 162353183
ACTION SNIPPET 1200 873 SNIPPET_NOT_RELEVANT 162411850
ACTION SNIPPET 1200 876 SNIPPET_NOT_RELEVANT 162363428
ACTION SNIPPET 1200 879 SNIPPET_NOT_RELEVANT 162396944
ACTION SNIPPET 1200 882 SNIPPET_NOT_RELEVANT 162382533
ACTION SNIPPET 1200 885 SNIPPET_NOT_RELEVANT 162412178
ACTION SNIPPET 1200 888 SNIPPET_NOT_RELEVANT 162354597
ACTION QUERY 1200 898 Compared the readership perception of online and hardcopy newspapers in Nigeria
ACTION SERP 1200 903 EXAMINE_SERP
ACTION SNIPPET 1200 906 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 909 SNIPPET_NOT_RELEVANT 125765463
ACTION SNIPPET 1200 912 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 915 SNIPPET_NOT_RELEVANT 45211877
ACTION SNIPPET 1200 918 SNIPPET_NOT_RELEVANT 138500852
ACTION SNIPPET 1200 921 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 924 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 927 SNIPPET_NOT_RELEVANT 121734872
ACTION SNIPPET 1200 930 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 933 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 936 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 939 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 942 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 945 SNIPPET_NOT_RELEVANT 127390110
ACTION SNIPPET 1200 948 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 951 SNIPPET_NOT_RELEVANT 151245951
ACTION SNIPPET 1200 954 SNIPPET_NOT_RELEVANT 70309209
ACTION SNIPPET 1200 957 SNIPPET_NOT_RELEVANT 125981194
ACTION SNIPPET 1200 960 SNIPPET_NOT_RELEVANT 70337389
ACTION SNIPPET 1200 963 SNIPPET_NOT_RELEVANT 158112765
ACTION SNIPPET 1200 966 SNIPPET_NOT_RELEVANT 156815474
ACTION SNIPPET 1200 969 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 972 SNIPPET_NOT_RELEVANT 8567450
ACTION SNIPPET 1200 975 SNIPPET_NOT_RELEVANT 8217877
ACTION SNIPPET 1200 978 SNIPPET_NOT_RELEVANT 153500561
ACTION SNIPPET 1200 981 SNIPPET_NOT_RELEVANT 162148167
ACTION SNIPPET 1200 984 SNIPPET_NOT_RELEVANT 20705783
ACTION SNIPPET 1200 987 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 990 SNIPPET_NOT_RELEVANT 120423876
ACTION SNIPPET 1200 993 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 996 SNIPPET_NOT_RELEVANT 71489299
ACTION SNIPPET 1200 999 SNIPPET_NOT_RELEVANT 159425199
ACTION QUERY 1200 1009 readership perception of online and hardcopy newspapers AND (yearPublished>=2002 AND yearPublished<=2024)
ACTION SERP 1200 1014 EXAMINE_SERP
ACTION SNIPPET 1200 1017 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 1020 SNIPPET_NOT_RELEVANT 125765463
ACTION SNIPPET 1200 1023 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 1026 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 1029 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 1032 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 1035 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 1038 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 1041 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 1044 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 1047 SNIPPET_NOT_RELEVANT 8567450
ACTION SNIPPET 1200 1050 SNIPPET_NOT_RELEVANT 162148167
ACTION SNIPPET 1200 1053 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 1056 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 1059 SNIPPET_NOT_RELEVANT 120423876
ACTION SNIPPET 1200 1062 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 1065 SNIPPET_NOT_RELEVANT 159425199
ACTION SNIPPET 1200 1068 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 1071 SNIPPET_NOT_RELEVANT 153441700
ACTION SNIPPET 1200 1074 SNIPPET_NOT_RELEVANT 69997916
ACTION SNIPPET 1200 1077 SNIPPET_NOT_RELEVANT 61263421
ACTION SNIPPET 1200 1080 SNIPPET_NOT_RELEVANT 123220
ACTION SNIPPET 1200 1083 SNIPPET_NOT_RELEVANT 63169520
ACTION SNIPPET 1200 1086 SNIPPET_NOT_RELEVANT 125981194
ACTION SNIPPET 1200 1089 SNIPPET_NOT_RELEVANT 121311221
ACTION SNIPPET 1200 1092 SNIPPET_NOT_RELEVANT 132549952
ACTION SNIPPET 1200 1095 SNIPPET_NOT_RELEVANT 74701625
ACTION SNIPPET 1200 1098 SNIPPET_NOT_RELEVANT 135106377
ACTION SNIPPET 1200 1101 SNIPPET_NOT_RELEVANT 156799459
ACTION SNIPPET 1200 1104 SNIPPET_NOT_RELEVANT 128501127
ACTION SNIPPET 1200 1107 SNIPPET_NOT_RELEVANT 154013844
ACTION SNIPPET 1200 1110 SNIPPET_NOT_RELEVANT 158112765
ACTION QUERY 1200 1120 Print Media AND (yearPublished>=1976 AND yearPublished<=2025)
ACTION SERP 1200 1125 EXAMINE_SERP
ACTION SNIPPET 1200 1128 SNIPPET_NOT_RELEVANT 82868660
ACTION SNIPPET 1200 1131 SNIPPET_NOT_RELEVANT 113750728
ACTION SNIPPET 1200 1134 SNIPPET_NOT_RELEVANT 142126153
ACTION SNIPPET 1200 1137 SNIPPET_NOT_RELEVANT 78808202
ACTION SNIPPET 1200 1140 SNIPPET_NOT_RELEVANT 129243649
ACTION SNIPPET 1200 1143 SNIPPET_NOT_RELEVANT 75486093
ACTION SNIPPET 1200 1146 SNIPPET_NOT_RELEVANT 125797834
ACTION SNIPPET 1200 1149 SNIPPET_NOT_RELEVANT 78806780
ACTION SNIPPET 1200 1152 SNIPPET_NOT_RELEVANT 75486025
ACTION SNIPPET 1200 1155 SNIPPET_NOT_RELEVANT 75486120
ACTION SNIPPET 1200 1158 SNIPPET_NOT_RELEVANT 78807592
ACTION SNIPPET 1200 1161 SNIPPET_NOT_RELEVANT 75486068
ACTION SNIPPET 1200 1164 SNIPPET_NOT_RELEVANT 75486096
ACTION SNIPPET 1200 1167 SNIPPET_NOT_RELEVANT 75486046
ACTION SNIPPET 1200 1170 SNIPPET_NOT_RELEVANT 125362716
ACTION SNIPPET 1200 1173 SNIPPET_NOT_RELEVANT 4395691
ACTION SNIPPET 1200 1176 SNIPPET_NOT_RELEVANT 4383656
ACTION SNIPPET 1200 1179 SNIPPET_NOT_RELEVANT 23065095
ACTION SNIPPET 1200 1182 SNIPPET_NOT_RELEVANT 126004680
ACTION SNIPPET 1200 1185 SNIPPET_NOT_RELEVANT 47476636
ACTION SNIPPET 1200 1188 SNIPPET_NOT_RELEVANT 145416292
