ACTION START 1200 0 START
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 2797053
ACTION QUERY 1200 232 effective strategies for remote learning AND (yearPublished>=2020 AND yearPublished<=2025)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 147816493
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 138850514
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 137502995
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 164422775
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 36373458
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 125150298
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 41327049
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 138842808
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 138728033
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 163105544
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 123357476
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 23053224
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 138840821
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 156804847
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 144917228
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 149948019
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 142413517
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 150247829
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 151815688
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 150946800
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 10142906
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 113702993
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 74253137
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 142401596
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 136423433
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 99319120
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 140450483
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 48109928
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 50724295
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 138896017
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 149202613
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 18084415
ACTION QUERY 1200 343 student motivation and learning outcomes AND (yearPublished>=2016 AND yearPublished<=2025)
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 154739081
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 153941783
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 139258
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 58391408
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 126284405
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 59282613
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 10992573
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 50722399
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 48106192
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 157789972
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 74591036
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 130699989
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 160963490
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 126854192
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 150651693
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 148414844
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 80077108
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 136984950
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 162441279
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 107382683
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 129368646
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 140124218
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 4654820
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 57134788
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 150041477
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 157682344
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 136649707
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 129382839
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 10502101
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 128998068
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 158227760
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 57134823
ACTION SERP 1200 449 EXAMINE_SERP
ACTION SNIPPET 1200 452 SNIPPET_NOT_RELEVANT 154739081
ACTION QUERY 1200 462 student engagement in online learning AND (yearPublished>=2020 AND yearPublished<=2025)
ACTION SERP 1200 467 EXAMINE_SERP
ACTION SNIPPET 1200 470 SNIPPET_NOT_RELEVANT 69394451
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 68429697
ACTION SNIPPET 1200 476 SNIPPET_NOT_RELEVANT 136649707
ACTION SNIPPET 1200 479 SNIPPET_NOT_RELEVANT 125815884
ACTION SNIPPET 1200 482 SNIPPET_NOT_RELEVANT 8059260
ACTION SNIPPET 1200 485 SNIPPET_NOT_RELEVANT 145611631
ACTION SNIPPET 1200 488 SNIPPET_NOT_RELEVANT 44149944
ACTION SNIPPET 1200 491 SNIPPET_NOT_RELEVANT 25512865
ACTION SNIPPET 1200 494 SNIPPET_NOT_RELEVANT 69795992
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 147854399
ACTION SNIPPET 1200 500 SNIPPET_NOT_RELEVANT 271362
ACTION SNIPPET 1200 503 SNIPPET_NOT_RELEVANT 67440774
ACTION SNIPPET 1200 506 SNIPPET_NOT_RELEVANT 164422775
ACTION SNIPPET 1200 509 SNIPPET_NOT_RELEVANT 61846410
ACTION SNIPPET 1200 512 SNIPPET_NOT_RELEVANT 4715049
ACTION SNIPPET 1200 515 SNIPPET_NOT_RELEVANT 84358204
ACTION SNIPPET 1200 518 SNIPPET_NOT_RELEVANT 141034021
ACTION SNIPPET 1200 521 SNIPPET_NOT_RELEVANT 125268285
ACTION SNIPPET 1200 524 SNIPPET_NOT_RELEVANT 123388619
ACTION SNIPPET 1200 527 SNIPPET_NOT_RELEVANT 70321432
ACTION SNIPPET 1200 530 SNIPPET_NOT_RELEVANT 8056716
ACTION SNIPPET 1200 533 SNIPPET_NOT_RELEVANT 73227
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT 31111542
ACTION SNIPPET 1200 539 SNIPPET_NOT_RELEVANT 147856584
ACTION SNIPPET 1200 542 SNIPPET_NOT_RELEVANT 157857920
ACTION SNIPPET 1200 545 SNIPPET_NOT_RELEVANT 132504623
ACTION SNIPPET 1200 548 SNIPPET_NOT_RELEVANT 148389143
ACTION SNIPPET 1200 551 SNIPPET_NOT_RELEVANT 11651979
ACTION SNIPPET 1200 554 SNIPPET_NOT_RELEVANT 107667455
ACTION SNIPPET 1200 557 SNIPPET_NOT_RELEVANT 235711
ACTION SNIPPET 1200 560 SNIPPET_NOT_RELEVANT 40307518
ACTION SNIPPET 1200 563 SNIPPET_NOT_RELEVANT 162383729
ACTION QUERY 1200 573 student's preference towards online learning or offline learning AND (yearPublished>=2019 AND yearPublished<=2025)
ACTION SERP 1200 578 EXAMINE_SERP
ACTION SNIPPET 1200 581 SNIPPET_NOT_RELEVANT 99636913
ACTION SNIPPET 1200 584 SNIPPET_NOT_RELEVANT 153958998
ACTION SNIPPET 1200 587 SNIPPET_NOT_RELEVANT 128880799
ACTION SNIPPET 1200 590 SNIPPET_NOT_RELEVANT 148307693
ACTION SNIPPET 1200 593 SNIPPET_NOT_RELEVANT 150247440
ACTION SNIPPET 1200 596 SNIPPET_NOT_RELEVANT 128999257
ACTION SNIPPET 1200 599 SNIPPET_NOT_RELEVANT 128990071
ACTION SNIPPET 1200 602 SNIPPET_NOT_RELEVANT 122780278
ACTION SNIPPET 1200 605 SNIPPET_NOT_RELEVANT 122510351
ACTION SNIPPET 1200 608 SNIPPET_NOT_RELEVANT 154683130
ACTION SNIPPET 1200 611 SNIPPET_NOT_RELEVANT 123420150
ACTION SNIPPET 1200 614 SNIPPET_NOT_RELEVANT 107667455
ACTION SNIPPET 1200 617 SNIPPET_NOT_RELEVANT 149777559
ACTION SNIPPET 1200 620 SNIPPET_NOT_RELEVANT 70432184
ACTION SNIPPET 1200 623 SNIPPET_NOT_RELEVANT 160980448
ACTION SNIPPET 1200 626 SNIPPET_NOT_RELEVANT 144435777
ACTION SNIPPET 1200 629 SNIPPET_NOT_RELEVANT 44667783
ACTION SNIPPET 1200 632 SNIPPET_NOT_RELEVANT 112498905
ACTION SNIPPET 1200 635 SNIPPET_NOT_RELEVANT 43865127
ACTION SNIPPET 1200 638 SNIPPET_NOT_RELEVANT 153827285
ACTION SNIPPET 1200 641 SNIPPET_NOT_RELEVANT 138942574
ACTION SNIPPET 1200 644 SNIPPET_NOT_RELEVANT 126381967
ACTION SNIPPET 1200 647 SNIPPET_NOT_RELEVANT 129329689
ACTION SNIPPET 1200 650 SNIPPET_NOT_RELEVANT 160534460
ACTION SNIPPET 1200 653 SNIPPET_NOT_RELEVANT 164653785
ACTION SNIPPET 1200 656 SNIPPET_NOT_RELEVANT 155911125
ACTION SNIPPET 1200 659 SNIPPET_NOT_RELEVANT 69795992
ACTION SNIPPET 1200 662 SNIPPET_NOT_RELEVANT 151475203
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 158112765
ACTION SNIPPET 1200 668 SNIPPET_NOT_RELEVANT 9896323
ACTION SNIPPET 1200 671 SNIPPET_NOT_RELEVANT 2918981
ACTION SNIPPET 1200 674 SNIPPET_NOT_RELEVANT 25512865
ACTION QUERY 1200 684 student engagement in virtual learning AND (yearPublished>=2007 AND yearPublished<=2025)
ACTION SERP 1200 689 EXAMINE_SERP
ACTION SNIPPET 1200 692 SNIPPET_NOT_RELEVANT 51364594
ACTION SNIPPET 1200 695 SNIPPET_NOT_RELEVANT 44149944
ACTION SNIPPET 1200 698 SNIPPET_NOT_RELEVANT 73227
ACTION SNIPPET 1200 701 SNIPPET_NOT_RELEVANT 8056716
ACTION SNIPPET 1200 704 SNIPPET_NOT_RELEVANT 8363055
ACTION SNIPPET 1200 707 SNIPPET_NOT_RELEVANT 147856584
ACTION SNIPPET 1200 710 SNIPPET_NOT_RELEVANT 154798611
ACTION SNIPPET 1200 713 SNIPPET_NOT_RELEVANT 484503
ACTION SNIPPET 1200 716 SNIPPET_NOT_RELEVANT 19130642
ACTION SNIPPET 1200 719 SNIPPET_NOT_RELEVANT 159296700
ACTION SNIPPET 1200 722 SNIPPET_NOT_RELEVANT 5502348
ACTION SNIPPET 1200 725 SNIPPET_NOT_RELEVANT 160777410
ACTION SNIPPET 1200 728 SNIPPET_NOT_RELEVANT 137648984
ACTION SNIPPET 1200 731 SNIPPET_NOT_RELEVANT 24988709
ACTION SNIPPET 1200 734 SNIPPET_NOT_RELEVANT 538779
ACTION SNIPPET 1200 737 SNIPPET_NOT_RELEVANT 7125851
ACTION SNIPPET 1200 740 SNIPPET_NOT_RELEVANT 165821491
ACTION SNIPPET 1200 743 SNIPPET_NOT_RELEVANT 148004488
ACTION SNIPPET 1200 746 SNIPPET_NOT_RELEVANT 8061839
ACTION SNIPPET 1200 749 SNIPPET_NOT_RELEVANT 8093479
ACTION SNIPPET 1200 752 SNIPPET_NOT_RELEVANT 149495671
ACTION SNIPPET 1200 755 SNIPPET_NOT_RELEVANT 64073768
ACTION SNIPPET 1200 758 SNIPPET_NOT_RELEVANT 45375203
ACTION SNIPPET 1200 761 SNIPPET_NOT_RELEVANT 107297788
ACTION SNIPPET 1200 764 SNIPPET_NOT_RELEVANT 162021865
ACTION SNIPPET 1200 767 SNIPPET_NOT_RELEVANT 8954461
ACTION SNIPPET 1200 770 SNIPPET_NOT_RELEVANT 155119468
ACTION SNIPPET 1200 773 SNIPPET_NOT_RELEVANT 123723723
ACTION SNIPPET 1200 776 SNIPPET_NOT_RELEVANT 154184932
ACTION SNIPPET 1200 779 SNIPPET_NOT_RELEVANT 214307
ACTION SNIPPET 1200 782 SNIPPET_NOT_RELEVANT 47798683
ACTION SNIPPET 1200 785 SNIPPET_NOT_RELEVANT 2034068
ACTION QUERY 1200 795 Student-athletes AND (yearPublished>=2009 AND yearPublished<=2024)
ACTION SERP 1200 800 EXAMINE_SERP
ACTION SNIPPET 1200 803 SNIPPET_NOT_RELEVANT 107393935
ACTION SNIPPET 1200 806 SNIPPET_NOT_RELEVANT 69992665
ACTION SNIPPET 1200 809 SNIPPET_NOT_RELEVANT 112075172
ACTION SNIPPET 1200 812 SNIPPET_NOT_RELEVANT 44182968
INFO SERP_END_REACHED 
ACTION SERP 1200 817 EXAMINE_SERP
ACTION SNIPPET 1200 820 SNIPPET_NOT_RELEVANT 107393935
ACTION SNIPPET 1200 823 SNIPPET_NOT_RELEVANT 69992665
ACTION SNIPPET 1200 826 SNIPPET_NOT_RELEVANT 112075172
ACTION SNIPPET 1200 829 SNIPPET_NOT_RELEVANT 44182968
INFO SERP_END_REACHED 
ACTION QUERY 1200 839 student performance AND (yearPublished>=2020 AND yearPublished<=2024)
ACTION SERP 1200 844 EXAMINE_SERP
ACTION SNIPPET 1200 847 SNIPPET_NOT_RELEVANT 2876303
ACTION SNIPPET 1200 850 SNIPPET_NOT_RELEVANT 3104863
ACTION SNIPPET 1200 853 SNIPPET_NOT_RELEVANT 70355563
ACTION SNIPPET 1200 856 SNIPPET_NOT_RELEVANT 74249947
ACTION SNIPPET 1200 859 SNIPPET_NOT_RELEVANT 154628272
ACTION SNIPPET 1200 862 SNIPPET_NOT_RELEVANT 51822292
ACTION SNIPPET 1200 865 SNIPPET_NOT_RELEVANT 122399013
ACTION SNIPPET 1200 868 SNIPPET_NOT_RELEVANT 67314633
ACTION SNIPPET 1200 871 SNIPPET_NOT_RELEVANT 146570901
ACTION SNIPPET 1200 874 SNIPPET_NOT_RELEVANT 135753407
ACTION SNIPPET 1200 877 SNIPPET_NOT_RELEVANT 70428112
ACTION SNIPPET 1200 880 SNIPPET_NOT_RELEVANT 63428278
ACTION SNIPPET 1200 883 SNIPPET_NOT_RELEVANT 84393709
ACTION SNIPPET 1200 886 SNIPPET_NOT_RELEVANT 140476708
ACTION SNIPPET 1200 889 SNIPPET_NOT_RELEVANT 136065883
ACTION SNIPPET 1200 892 SNIPPET_NOT_RELEVANT 69665434
ACTION SNIPPET 1200 895 SNIPPET_NOT_RELEVANT 156054355
ACTION SNIPPET 1200 898 SNIPPET_NOT_RELEVANT 2770166
ACTION SNIPPET 1200 901 SNIPPET_NOT_RELEVANT 164404363
ACTION SNIPPET 1200 904 SNIPPET_NOT_RELEVANT 63093969
ACTION SNIPPET 1200 907 SNIPPET_NOT_RELEVANT 142915484
ACTION SNIPPET 1200 910 SNIPPET_NOT_RELEVANT 15176279
ACTION SNIPPET 1200 913 SNIPPET_NOT_RELEVANT 85005128
ACTION SNIPPET 1200 916 SNIPPET_NOT_RELEVANT 45611533
ACTION SNIPPET 1200 919 SNIPPET_NOT_RELEVANT 78256909
ACTION SNIPPET 1200 922 SNIPPET_NOT_RELEVANT 2533936
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 55025788
ACTION SNIPPET 1200 928 SNIPPET_NOT_RELEVANT 8680139
ACTION SNIPPET 1200 931 SNIPPET_NOT_RELEVANT 99034634
ACTION SNIPPET 1200 934 SNIPPET_NOT_RELEVANT 108114517
ACTION SNIPPET 1200 937 SNIPPET_NOT_RELEVANT 142602147
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 2797053
ACTION QUERY 1200 950 student performance in asynchronous learning AND (yearPublished>=2019 AND yearPublished<=2025)
ACTION SERP 1200 955 EXAMINE_SERP
ACTION SNIPPET 1200 958 SNIPPET_NOT_RELEVANT 136444795
ACTION SNIPPET 1200 961 SNIPPET_NOT_RELEVANT 148307693
ACTION SNIPPET 1200 964 SNIPPET_NOT_RELEVANT 154683130
ACTION SNIPPET 1200 967 SNIPPET_NOT_RELEVANT 130945881
ACTION SNIPPET 1200 970 SNIPPET_NOT_RELEVANT 85691915
ACTION SNIPPET 1200 973 SNIPPET_NOT_RELEVANT 84233046
ACTION SNIPPET 1200 976 SNIPPET_NOT_RELEVANT 15298602
ACTION SNIPPET 1200 979 SNIPPET_NOT_RELEVANT 150468514
ACTION SNIPPET 1200 982 SNIPPET_NOT_RELEVANT 153545497
ACTION SNIPPET 1200 985 SNIPPET_NOT_RELEVANT 47909009
ACTION SNIPPET 1200 988 SNIPPET_NOT_RELEVANT 75003577
ACTION SNIPPET 1200 991 SNIPPET_NOT_RELEVANT 5844703
ACTION SNIPPET 1200 994 SNIPPET_NOT_RELEVANT 157015791
ACTION SNIPPET 1200 997 SNIPPET_NOT_RELEVANT 40094806
ACTION SNIPPET 1200 1000 SNIPPET_NOT_RELEVANT 68759495
ACTION SNIPPET 1200 1003 SNIPPET_NOT_RELEVANT 84852330
ACTION SNIPPET 1200 1006 SNIPPET_NOT_RELEVANT 152749271
ACTION SNIPPET 1200 1009 SNIPPET_NOT_RELEVANT 84228990
ACTION SNIPPET 1200 1012 SNIPPET_NOT_RELEVANT 40092384
ACTION SNIPPET 1200 1015 SNIPPET_NOT_RELEVANT 17792076
ACTION SNIPPET 1200 1018 SNIPPET_NOT_RELEVANT 50031640
ACTION SNIPPET 1200 1021 SNIPPET_NOT_RELEVANT 21956926
ACTION SNIPPET 1200 1024 SNIPPET_NOT_RELEVANT 9168499
ACTION SNIPPET 1200 1027 SNIPPET_NOT_RELEVANT 160435096
ACTION SNIPPET 1200 1030 SNIPPET_NOT_RELEVANT 155504119
ACTION SNIPPET 1200 1033 SNIPPET_NOT_RELEVANT 40374813
ACTION SNIPPET 1200 1036 SNIPPET_NOT_RELEVANT 86824517
ACTION SNIPPET 1200 1039 SNIPPET_NOT_RELEVANT 140293180
ACTION SNIPPET 1200 1042 SNIPPET_NOT_RELEVANT 160791684
ACTION SNIPPET 1200 1045 SNIPPET_NOT_RELEVANT 109889323
ACTION SNIPPET 1200 1048 SNIPPET_NOT_RELEVANT 109234794
ACTION SNIPPET 1200 1051 SNIPPET_NOT_RELEVANT 130505162
ACTION QUERY 1200 1061 online learning AND (yearPublished>=2004 AND yearPublished<=2024)
ACTION SERP 1200 1066 EXAMINE_SERP
ACTION SNIPPET 1200 1069 SNIPPET_NOT_RELEVANT 158075526
ACTION SNIPPET 1200 1072 SNIPPET_NOT_RELEVANT 11341826
ACTION SNIPPET 1200 1075 SNIPPET_NOT_RELEVANT 150247440
ACTION SNIPPET 1200 1078 SNIPPET_NOT_RELEVANT 162695888
ACTION SNIPPET 1200 1081 SNIPPET_NOT_RELEVANT 137596081
ACTION SNIPPET 1200 1084 SNIPPET_NOT_RELEVANT 148320880
ACTION SNIPPET 1200 1087 SNIPPET_NOT_RELEVANT 112498905
ACTION SNIPPET 1200 1090 SNIPPET_NOT_RELEVANT 99636913
ACTION SNIPPET 1200 1093 SNIPPET_NOT_RELEVANT 164658366
ACTION SNIPPET 1200 1096 SNIPPET_NOT_RELEVANT 135106377
ACTION SNIPPET 1200 1099 SNIPPET_NOT_RELEVANT 159443408
ACTION SNIPPET 1200 1102 SNIPPET_NOT_RELEVANT 149777559
ACTION SNIPPET 1200 1105 SNIPPET_NOT_RELEVANT 141799241
ACTION SNIPPET 1200 1108 SNIPPET_NOT_RELEVANT 112510750
ACTION SNIPPET 1200 1111 SNIPPET_NOT_RELEVANT 132978125
ACTION SNIPPET 1200 1114 SNIPPET_NOT_RELEVANT 125815884
ACTION SNIPPET 1200 1117 SNIPPET_NOT_RELEVANT 24346676
ACTION SNIPPET 1200 1120 SNIPPET_NOT_RELEVANT 125866537
ACTION SNIPPET 1200 1123 SNIPPET_NOT_RELEVANT 5844703
ACTION SNIPPET 1200 1126 SNIPPET_NOT_RELEVANT 156799459
ACTION SNIPPET 1200 1129 SNIPPET_NOT_RELEVANT 84091853
ACTION SNIPPET 1200 1132 SNIPPET_NOT_RELEVANT 10726798
ACTION SNIPPET 1200 1135 SNIPPET_NOT_RELEVANT 8054864
ACTION SNIPPET 1200 1138 SNIPPET_NOT_RELEVANT 127130786
ACTION SNIPPET 1200 1141 SNIPPET_NOT_RELEVANT 146589221
ACTION SNIPPET 1200 1144 SNIPPET_NOT_RELEVANT 99069145
ACTION SNIPPET 1200 1147 SNIPPET_NOT_RELEVANT 150563263
ACTION SNIPPET 1200 1150 SNIPPET_NOT_RELEVANT 153958998
ACTION SNIPPET 1200 1153 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 1156 SNIPPET_NOT_RELEVANT 127078903
ACTION SNIPPET 1200 1159 SNIPPET_NOT_RELEVANT 126383903
ACTION SNIPPET 1200 1162 SNIPPET_NOT_RELEVANT 109911473
ACTION SERP 1200 1167 EXAMINE_SERP
ACTION SNIPPET 1200 1170 SNIPPET_NOT_RELEVANT 158075526
ACTION SERP 1200 1175 EXAMINE_SERP
ACTION SNIPPET 1200 1178 SNIPPET_NOT_RELEVANT 158075526
ACTION QUERY 1200 1188 effect of asynchronous learning on students academic performance.
ACTION SERP 1200 1193 EXAMINE_SERP
ACTION SNIPPET 1200 1196 SNIPPET_NOT_RELEVANT 136444795
ACTION SNIPPET 1200 1199 SNIPPET_NOT_RELEVANT 40094806
ACTION SNIPPET 1200 1202 SNIPPET_NOT_RELEVANT 84228990
INFO SUMMARY 
INFO TOTAL_QUERIES_ISSUED 12
INFO TOTAL_SNIPPETS_EXAMINED 334
INFO TOTAL_DOCUMENTS_EXAMINED 0
INFO TOTAL_DOCUMENTS_MARKED_RELEVANT 0
INFO TOTAL_ATTRACTIVE_SERP_IMPRESSIONS 16
INFO TOTAL_UNATTRACTIVE_SERP_IMPRESSIONS 0
